disco,date,band,energy_kwh
BEDC,01/11/2020,band_a,42932333.72
BEDC,01/11/2020,band_b,26521543.6
BEDC,01/11/2020,band_c,35303573.8
BEDC,01/11/2020,band_d,38508980.6
BEDC,01/11/2020,band_e,51820391.58
BEDC,01/12/2020,lifeline,0
BEDC,01/12/2020,band_a,43363825.96
BEDC,01/12/2020,band_b,23705185.8
BEDC,01/12/2020,band_c,41601100.9
BEDC,01/12/2020,band_d,38365007.6
BEDC,01/12/2020,band_e,53469355.6
BEDC,01/01/2021,lifeline,0
BEDC,01/01/2021,band_a,44848803.15
BEDC,01/01/2021,band_b,24024928
BEDC,01/01/2021,band_c,43878138.14
BEDC,01/01/2021,band_d,39961069.6
BEDC,01/01/2021,band_e,51136024.04
BEDC,01/02/2021,lifeline,0
BEDC,01/02/2021,band_a,43324064.91
BEDC,01/02/2021,band_b,20486222.6
BEDC,01/02/2021,band_c,38589297
BEDC,01/02/2021,band_d,32598726.3
BEDC,01/02/2021,band_e,44631792
BEDC,01/03/2021,lifeline,0
BEDC,01/03/2021,band_a,40130295.17
BEDC,01/03/2021,band_b,26248580.7
BEDC,01/03/2021,band_c,38527706
BEDC,01/03/2021,band_d,36519625.9
BEDC,01/03/2021,band_e,60578033.1
BEDC,01/04/2021,lifeline,0
BEDC,01/04/2021,band_a,36140711.41
BEDC,01/04/2021,band_b,26163106.2
BEDC,01/04/2021,band_c,37393440.6
BEDC,01/04/2021,band_d,27244771.1
BEDC,01/04/2021,band_e,54044561.6
BEDC,01/05/2021,lifeline,0
BEDC,01/05/2021,band_a,33599954.13
BEDC,01/05/2021,band_b,29760484.9
BEDC,01/05/2021,band_c,39690433
BEDC,01/05/2021,band_d,28346038.7
BEDC,01/05/2021,band_e,56413206
BEDC,01/06/2021,lifeline,0
BEDC,01/06/2021,band_a,34176573.99
BEDC,01/06/2021,band_b,23693131.9
BEDC,01/06/2021,band_c,32151005.08
BEDC,01/06/2021,band_d,25387436.3
BEDC,01/06/2021,band_e,56983032.5
BEDC,01/07/2021,lifeline,0
BEDC,01/07/2021,band_a,36219674.19
BEDC,01/07/2021,band_b,24472881.2
BEDC,01/07/2021,band_c,36890034.16
BEDC,01/07/2021,band_d,29431963.7
BEDC,01/07/2021,band_e,60837147.1
BEDC,01/08/2021,lifeline,0
BEDC,01/08/2021,band_a,40235978.31
BEDC,01/08/2021,band_b,24941605.8
BEDC,01/08/2021,band_c,34177384.9
BEDC,01/08/2021,band_d,27115903
BEDC,01/08/2021,band_e,51831039.5
BEDC,01/09/2021,lifeline,76825
BEDC,01/09/2021,band_a,36631960.81
